market,ticker,name,sector,exchange,date,year,window_len,raw,z,fwd_3m,excess_3m,fwd_6m,excess_6m,momentum_6m,up1_conf,up1_fwd6m,up1_exc6m,up1_fwd3m,up1_exc3m,up1_days,confirmed_conf,confirmed_fwd6m,confirmed_exc6m,confirmed_fwd3m,confirmed_exc3m,confirmed_days,pre_drop_target_ret,mfe,recovered,r_target,hold_target,r_trail,hold_trail,r_sl5,hold_sl5,r_sl8,hold_sl8,r_sl10,hold_sl10,r_sl12,hold_sl12,r_sl25,hold_sl25,r_sl30,hold_sl30,profitable,roe,de,earnings_yield,ey_minus_bond,npat_margin,fcf_margin,rev_growth,eps_growth,div_yield,insider_buy_n,insider_sell_n,insider_buy_val,insider_sell_val,insider_net_val,director_buy,director_sell,insider_signal,days_to_recover
US,A,Agilent Technologies Inc,Healthcare,US-SF,2018-05-16,2018,2,-0.105,-4.852,0.0476,0.014,0.0435,0.1063,0.0304,True,0.0026,0.0782,0.0325,-0.0047,1,True,0.0026,0.0782,0.0325,-0.0047,1.0,0.1174,0.1696,False,0.0476,63,0.0476,63,0.0476,63,0.0476,63,0.0476,63,0.0476,63,0.0476,63,0.0476,63,True,0.1417,0.4167,0.0416,-0.0014,0.153,0.1594,-0.082,-0.083,0.0097,0,20,0.0,18636580.61,-18636580.61,False,True,sell,
US,A,Agilent Technologies Inc,Healthcare,US-SF,2019-05-15,2019,1,-0.1101,-7.988,-0.0282,0.024,0.1441,0.1138,0.1263,True,0.1183,0.0978,0.0064,0.0678,1,True,0.1504,0.1043,0.0196,0.0557,7.0,0.1237,0.1567,True,0.1237,34,0.0453,41,-0.0282,63,-0.0282,63,-0.0282,63,-0.0282,63,-0.0282,63,-0.0282,63,True,0.0692,0.3939,0.0174,-0.0256,0.0643,0.1852,0.0476,-0.1456,0.0098,0,13,0.0,9809580.95,-9809580.95,False,True,sell,34.0
US,A,Agilent Technologies Inc,Healthcare,US-SF,2024-05-30,2024,2,-0.1133,-5.416,0.0866,0.0154,0.0548,-0.1249,0.1744,True,0.0659,-0.1159,0.0595,0.016,2,True,0.0533,-0.1224,0.0379,0.0048,4.0,0.1278,0.1319,False,0.0866,63,0.0866,63,0.0866,63,0.0866,63,0.0866,63,0.0866,63,0.0866,63,0.0866,63,True,0.2121,0.4679,0.034,-0.0115,0.1815,0.2157,0.0682,0.3395,0.0071,0,9,0.0,21950931.86,-21950931.86,False,True,sell,
US,AA,Alcoa Corp,Basic Materials,US-SF,2014-12-11,2014,5,-0.1207,-3.07,-0.1218,-0.1842,-0.2053,-0.2859,0.2058,True,-0.1957,-0.308,-0.1089,-0.207,2,True,-0.2041,-0.2976,-0.1366,-0.2146,4.0,0.1372,0.128,False,-0.1218,63,-0.1218,63,-0.0947,58,-0.0947,58,-0.1079,59,-0.1218,63,-0.1218,63,-0.1218,63,False,,,-0.2558,-0.2988,-0.0991,-0.005,,,0.0085,0,0,0.0,0.0,0.0,False,False,none,
US,AA,Alcoa Corp,Basic Materials,US-SF,2016-01-06,2016,2,-0.1133,-2.707,0.1058,0.1072,0.0926,0.042,-0.1141,True,0.5192,0.3441,0.3886,0.286,6,True,0.5059,0.2988,0.476,0.3372,10.0,0.1278,0.3193,True,0.1278,41,0.0685,47,-0.0627,2,-0.1545,4,-0.1545,4,-0.1545,4,0.1058,63,0.1058,63,False,-0.0914,0.0238,-0.1684,-0.2114,-0.0769,0.0431,-0.3025,,0.0148,0,0,0.0,0.0,0.0,False,False,none,41.0
US,AA,Alcoa Corp,Basic Materials,US-SF,2016-10-11,2016,2,-0.1103,-3.708,0.4357,0.317,0.4393,0.3321,0.0798,True,0.5148,0.3777,0.6746,0.5691,5,True,0.5148,0.3777,0.6746,0.5691,5.0,0.124,0.7316,True,0.124,18,0.3009,35,-0.0527,3,0.4357,63,0.4357,63,0.4357,63,0.4357,63,0.4357,63,False,-0.0914,0.0238,-0.1542,-0.1972,-0.0769,0.0431,-0.3025,,0.0136,0,0,0.0,0.0,0.0,False,False,none,18.0
US,AA,Alcoa Corp,Basic Materials,US-SF,2017-11-14,2017,5,-0.1086,-2.632,0.1361,0.0913,0.2111,0.1064,0.5113,True,0.2042,0.0932,0.122,0.0677,1,True,0.1102,0.0469,0.0409,0.0598,9.0,0.1218,0.4385,True,0.1218,25,0.2424,52,0.1361,63,0.1361,63,0.1361,63,0.1361,63,0.1361,63,0.1361,63,False,-0.0707,0.2556,-0.038,-0.081,-0.0429,-0.0767,-0.2605,,0.0,0,0,0.0,0.0,0.0,False,False,none,25.0
US,AA,Alcoa Corp,Basic Materials,US-SF,2018-04-23,2018,1,-0.1351,-5.493,-0.2037,-0.2909,-0.2563,-0.2434,0.2568,True,-0.2816,-0.2662,-0.1702,-0.2571,2,True,-0.354,-0.2967,-0.1912,-0.2794,3.0,0.1563,0.0511,False,-0.2037,63,-0.2037,63,-0.0642,22,-0.0886,25,-0.1264,38,-0.1264,38,-0.2037,63,-0.2037,63,True,0.048,0.3104,0.0166,-0.0264,0.0184,0.0695,-0.1546,0.0267,0.0,0,8,0.0,12643748.5,-12643748.5,False,True,sell,
US,AA,Alcoa Corp,Basic Materials,US-SF,2018-07-19,2018,1,-0.1334,-5.146,-0.1169,-0.0513,-0.2957,-0.1671,-0.1584,True,-0.3153,-0.1715,-0.0661,0.026,2,True,-0.342,-0.2135,-0.0713,0.0124,3.0,0.154,0.0859,False,-0.1169,63,-0.1169,63,-0.0679,56,-0.0943,57,-0.1323,58,-0.1323,58,-0.1169,63,-0.1169,63,True,0.048,0.3104,0.0208,-0.0222,0.0184,0.0695,-0.1546,0.0267,0.0,0,8,0.0,12643748.5,-12643748.5,False,True,sell,
US,AA,Alcoa Corp,Basic Materials,US-SF,2018-10-09,2018,3,-0.1269,-2.811,-0.2301,-0.1213,-0.2431,-0.2167,-0.1028,True,-0.2633,-0.2439,-0.1824,-0.1012,5,True,-0.2332,-0.2146,-0.2025,-0.1351,6.0,0.1453,0.0484,False,-0.2301,63,-0.2301,63,-0.0523,2,-0.0914,11,-0.1015,14,-0.1318,30,-0.2532,47,-0.3318,52,True,0.048,0.3104,0.0229,-0.0201,0.0184,0.0695,-0.1546,0.0267,0.0,0,0,0.0,0.0,0.0,False,False,none,
