market,ticker,name,sector,exchange,date,year,window_len,raw,z,fwd_3m,excess_3m,fwd_6m,excess_6m,momentum_6m,up1_conf,up1_fwd6m,up1_exc6m,up1_fwd3m,up1_exc3m,up1_days,confirmed_conf,confirmed_fwd6m,confirmed_exc6m,confirmed_fwd3m,confirmed_exc3m,confirmed_days,confirmed_fwd15d,confirmed_exc15d,confirmed_fwd21d,confirmed_exc21d,confirmed_fwd30d,confirmed_exc30d,confirmed_fwd42d,confirmed_exc42d,pre_drop_target_ret,mfe,recovered,r_target,hold_target,r_trail,hold_trail,r_sl5,hold_sl5,r_sl8,hold_sl8,r_sl10,hold_sl10,r_sl12,hold_sl12,r_sl25,hold_sl25,r_sl30,hold_sl30,ce_trail,ce_trail_exc,ce_te15,ce_te15_exc,ce_te21,ce_te21_exc,ce_te30,ce_te30_exc,ce_te42,ce_te42_exc,ce_rec_days,profitable,roe,de,earnings_yield,ey_minus_bond,npat_margin,fcf_margin,rev_growth,eps_growth,days_to_recover,div_yield
ASX,1AI,Algorae Pharmaceuticals Ltd,Healthcare,ASX-SF,2017-11-13,2017,1,-0.2513,-2.593,-0.0989,-0.0812,-0.0671,-0.0712,-0.6358,True,-0.099,-0.1116,-0.1297,-0.1203,1.0,True,-0.1801,-0.1933,-0.1801,-0.1823,2.0,-0.1511,-0.1529,-0.2122,-0.2251,-0.1801,-0.2028,-0.0289,-0.0444,0.3357,0.1661,False,-0.0989,63.0,-0.0989,63.0,-0.0671,17.0,-0.1343,23.0,-0.1343,23.0,-0.1343,23.0,-0.265,26.0,-0.0989,63.0,-0.1801,-0.1823,-0.1511,-0.1529,-0.2122,-0.2251,-0.1801,-0.2028,-0.0289,-0.0444,-1.0,False,-0.544,0.0,-0.0713,-0.1143,-35.4814,-31.3964,-0.5005,,,
ASX,1MC,Morella Corporation Ltd,Basic Materials,ASX-SF,2016-04-27,2016,1,-0.2391,-2.751,-0.0857,-0.1542,-0.2286,-0.2768,3.3396,True,-0.3333,-0.3699,-0.1538,-0.215,1.0,True,-0.5098,-0.4752,-0.3333,-0.3682,10.0,-0.1373,-0.1286,-0.0784,-0.0772,-0.2549,-0.2383,-0.2745,-0.2688,0.3143,0.5143,True,0.3143,10.0,0.3143,12.0,-0.0572,42.0,-0.0857,59.0,-0.1714,60.0,-0.1714,60.0,-0.0857,63.0,-0.0857,63.0,-0.1373,-0.1346,-0.1373,-0.1346,-0.1373,-0.1346,-0.1373,-0.1346,-0.1373,-0.1346,1.0,False,-1.1746,0.0,-0.0185,-0.0615,-6.2889,-0.8076,-0.1111,,10.0,0.0
ASX,1MC,Morella Corporation Ltd,Basic Materials,ASX-SF,2018-08-02,2018,1,-0.1186,-4.287,-0.2308,-0.1602,-0.4423,-0.3809,-0.2027,True,-0.4727,-0.4118,-0.2727,-0.2072,1.0,False,,,,,,,,,,,,,,0.1346,0.1154,False,-0.2308,63.0,-0.2308,63.0,-0.0577,24.0,-0.1346,25.0,-0.1346,25.0,-0.1346,25.0,-0.2308,63.0,-0.2308,63.0,,,,,,,,,,,,False,-0.1384,1.5678,-0.0054,-0.0484,-16.6839,-171.6826,-0.3575,,,0.0
ASX,1MC,Morella Corporation Ltd,Basic Materials,ASX-SF,2019-08-29,2019,1,-0.1294,-2.719,-0.2027,-0.245,-0.1486,-0.1711,-0.4138,True,-0.0454,-0.0098,-0.1061,-0.1523,4.0,True,-0.3479,-0.2133,-0.1884,-0.1934,7.0,0.0435,0.0372,0.0145,0.0221,-0.1884,-0.189,0.0145,0.0126,0.1486,0.1216,False,-0.2027,63.0,-0.2027,63.0,-0.0541,1.0,-0.1486,3.0,-0.1486,3.0,-0.1486,3.0,-0.2027,63.0,-0.2027,63.0,-0.1884,-0.1934,0.0435,0.0372,0.0145,0.0221,-0.1884,-0.189,0.0145,0.0126,-1.0,False,-0.265,1.7849,-0.0392,-0.0822,-0.6909,-1.9891,0.3897,,,0.0
ASX,1MC,Morella Corporation Ltd,Basic Materials,ASX-SF,2020-03-09,2020,1,-0.2858,-8.841,0.489,0.4203,0.5556,0.523,-0.0597,True,0.5217,0.4685,0.2826,0.2388,2.0,True,0.5217,0.4685,0.2826,0.2388,2.0,-0.2826,-0.1989,-0.1087,-0.0486,0.0869,0.1714,-0.1304,-0.0757,0.4001,0.5556,True,0.4001,62.0,0.3111,65.0,-0.1556,5.0,-0.1556,5.0,-0.1556,5.0,-0.1556,5.0,-0.3333,8.0,-0.3333,8.0,0.2826,0.2388,-0.2826,-0.1989,-0.1087,-0.0486,0.0869,0.1714,-0.1304,-0.0757,60.0,False,-0.265,1.7849,-0.0644,-0.1074,-0.6909,-1.9891,0.3897,,62.0,0.0
ASX,1MC,Morella Corporation Ltd,Basic Materials,ASX-SF,2023-01-31,2023,1,-0.125,-2.638,-0.2857,-0.2472,-0.5,-0.4947,-0.1111,True,-0.5333,-0.5121,-0.4,-0.3577,1.0,False,,,,,,,,,,,,,,0.1429,0.0714,False,-0.2857,63.0,-0.2857,63.0,-0.0714,8.0,-0.1071,10.0,-0.1071,10.0,-0.1429,11.0,-0.3571,27.0,-0.3571,27.0,,,,,,,,,,,,False,-0.1335,0.6497,-0.0048,-0.0478,-2.357,-16.4646,-0.1776,,,0.0
ASX,1TT,Thrive Tribe Technologies Ltd,Technology,ASX-SF,2016-04-29,2016,1,-0.25,-3.838,-0.4722,-0.5316,-0.6056,-0.6433,-0.8756,True,-0.6,-0.6085,-0.5294,-0.5662,4.0,True,-0.6,-0.6085,-0.5294,-0.5662,4.0,-0.2647,-0.2853,-0.2353,-0.2434,-0.2941,-0.2731,-0.1176,-0.1092,0.3333,-0.0278,False,-0.4722,63.0,-0.4722,63.0,-0.1667,1.0,-0.1667,1.0,-0.1667,1.0,-0.1667,1.0,-0.3056,16.0,-0.3056,16.0,-0.5294,-0.5662,-0.2647,-0.2853,-0.2353,-0.2434,-0.2941,-0.2731,-0.1176,-0.1092,-1.0,True,0.2574,0.0,0.0,-0.043,24.3357,-42.1783,,,,
ASX,29M,29METALS Ltd,Basic Materials,ASX-SF,2022-04-29,2022,3,-0.1369,-2.84,-0.452,-0.377,-0.308,-0.2211,0.1849,True,-0.2917,-0.2361,-0.4252,-0.371,4.0,False,,,,,,,,,,,,,,0.1586,0.0221,False,-0.452,63.0,-0.452,63.0,-0.0554,6.0,-0.0997,7.0,-0.1033,8.0,-0.1735,31.0,-0.2786,38.0,-0.3008,40.0,,,,,,,,,,,,True,0.1573,0.262,0.0264,-0.0166,0.2014,-0.0375,0.046,0.8838,,0.0
ASX,29M,29METALS Ltd,Basic Materials,ASX-SF,2022-07-06,2022,1,-0.1142,-3.748,0.5949,0.5792,0.3595,0.291,-0.4723,True,0.4452,0.3822,0.5896,0.5688,2.0,True,0.4452,0.3822,0.5896,0.5688,2.0,0.0306,-0.0103,0.1911,0.1383,0.3207,0.2542,0.2492,0.2264,0.1289,0.8549,True,0.1289,23.0,0.2893,42.0,-0.1185,4.0,-0.1185,4.0,-0.1185,4.0,-0.1429,5.0,0.5949,63.0,0.5949,63.0,0.2628,0.2397,0.0306,-0.0103,0.2628,0.2397,0.2628,0.2397,0.2628,0.2397,21.0,True,0.1573,0.262,0.0498,0.0068,0.2014,-0.0375,0.046,0.8838,23.0,0.0
ASX,29M,29METALS Ltd,Basic Materials,ASX-SF,2022-10-20,2022,1,-0.1358,-3.199,0.1048,-0.0017,-0.3717,-0.4566,-0.3102,True,-0.3994,-0.4718,0.06,-0.0439,2.0,True,-0.3994,-0.4718,0.06,-0.0439,2.0,0.2794,0.2258,0.2585,0.2006,0.2899,0.2107,0.2167,0.1694,0.1571,0.3822,True,0.1571,14.0,0.2147,37.0,-0.0628,46.0,0.1048,63.0,0.1048,63.0,0.1048,63.0,0.1048,63.0,0.1048,63.0,0.2115,0.1543,0.2115,0.1543,0.2115,0.1543,0.2115,0.1543,0.2115,0.1543,12.0,True,0.1573,0.262,0.0371,-0.0059,0.2014,-0.0375,0.046,0.8838,14.0,0.0086
