market,ticker,name,sector,exchange,date,year,window_len,raw,z,fwd_3m,excess_3m,fwd_6m,excess_6m,momentum_6m,up1_conf,up1_fwd6m,up1_exc6m,up1_fwd3m,up1_exc3m,up1_days,confirmed_conf,confirmed_fwd6m,confirmed_exc6m,confirmed_fwd3m,confirmed_exc3m,confirmed_days,pre_drop_target_ret,mfe,recovered,r_target,hold_target,r_trail,hold_trail,r_sl5,hold_sl5,r_sl8,hold_sl8,r_sl10,hold_sl10,r_sl12,hold_sl12,r_sl25,hold_sl25,r_sl30,hold_sl30,ce_trail,ce_trail_exc,ce_te15,ce_te15_exc,ce_te21,ce_te21_exc,ce_te30,ce_te30_exc,ce_te42,ce_te42_exc,ce_rec_days,profitable,roe,de,earnings_yield,ey_minus_bond,npat_margin,fcf_margin,rev_growth,eps_growth,div_yield,days_to_recover
TSX,AAPL,Apple CDR (CAD Hedged),Technology,TSX-SF,2025-03-13,2025,4,-0.1232,-4.404,-0.0528,-0.1525,0.1062,-0.1037,0.0675,True,0.0969,-0.1018,-0.0836,-0.1631,1.0,True,0.161,-0.0389,-0.0834,-0.1446,6.0,0.1405,0.1335,False,-0.0528,63,-0.0528,63,-0.1025,16,-0.1025,16,-0.1025,16,-0.133,17,-0.0528,63,-0.0528,63,-0.0834,-0.1446,-0.0953,-0.04,-0.0871,-0.0606,-0.0915,-0.0909,-0.0818,-0.1173,-1.0,True,1.6459,1.8723,0.0225,-0.0205,0.2397,0.2783,-0.0042,,0.0103,
TSX,AAUC,Allied Gold Corporation,Basic Materials,TSX-SF,2024-10-03,2024,1,-0.1029,-3.319,0.1242,0.0812,0.3662,0.3986,-0.1667,True,0.3659,0.4199,0.1293,0.0976,1.0,True,0.7764,0.8058,0.0863,0.0766,5.0,0.1146,0.6306,True,0.1146,10,0.1783,19,0.1242,63,0.1242,63,0.1242,63,0.1242,63,0.1242,63,0.1242,63,0.1821,0.1881,0.1821,0.1881,0.1821,0.1881,0.1821,0.1881,0.1821,0.1881,5.0,False,-0.6952,0.6899,-0.1758,-0.2188,-0.318,-0.0778,-0.0207,,,10.0
TSX,AAUC,Allied Gold Corporation,Basic Materials,TSX-SF,2024-11-11,2024,2,-0.144,-3.064,0.4893,0.4553,0.6606,0.6272,0.0946,True,0.7508,0.714,0.4441,0.4268,3.0,False,,,,,,0.1682,0.841,True,0.1682,50,0.3823,66,-0.052,1,-0.0856,4,0.4893,63,0.4893,63,0.4893,63,0.4893,63,,,,,,,,,,,,False,-0.6952,0.6899,-0.1688,-0.2118,-0.318,-0.0778,-0.0207,,,50.0
TSX,AAUC,Allied Gold Corporation,Basic Materials,TSX-SF,2025-08-07,2025,1,-0.1175,-3.298,0.2614,0.1855,1.5675,1.3978,0.3008,True,1.6174,1.4265,0.4094,0.3203,3.0,True,1.3765,1.1807,0.2871,0.2099,7.0,0.1331,1.6145,True,0.1331,13,0.5289,49,0.2614,63,0.2614,63,0.2614,63,0.2614,63,0.2614,63,0.2614,63,0.4092,0.3309,0.4092,0.3309,0.4092,0.3309,0.4092,0.3309,0.4092,0.3309,6.0,False,-0.3344,0.2787,-0.0553,-0.0983,-0.1583,-0.1148,0.0444,,,13.0
TSX,AAUC,Allied Gold Corporation,Basic Materials,TSX-SF,2025-10-21,2025,4,-0.1583,-2.683,0.6847,0.5856,0.8021,0.666,0.7267,True,0.7715,0.6405,0.7195,0.6188,1.0,True,0.8904,0.7491,0.9843,0.8803,13.0,0.188,0.8058,True,0.188,28,0.3012,47,-0.1182,8,-0.1182,8,-0.1182,8,-0.1446,10,0.6847,63,0.6847,63,0.4565,0.3902,0.4565,0.3902,0.4565,0.3902,0.4565,0.3902,0.4565,0.3902,15.0,False,-0.3344,0.2787,-0.038,-0.081,-0.1583,-0.1148,0.0444,,,28.0
TSX,AAUC,Allied Gold Corporation,Basic Materials,TSX-SF,2026-05-20,2026,4,-0.1012,-3.421,,,,,0.7459,True,,,,,1.0,True,,,,,10.0,0.1126,0.0524,False,-0.2105,42,-0.2105,42,-0.0927,25,-0.0927,25,-0.1148,26,-0.1206,37,-0.2105,42,-0.2105,42,-0.2116,-0.2161,-0.0939,-0.0921,-0.0267,-0.0395,-0.1837,-0.1992,-0.2116,-0.2161,-1.0,False,-0.1272,0.3786,-0.0114,-0.0544,-0.0389,0.0615,0.2576,,,
TSX,AAUC,Allied Gold Corporation,Basic Materials,TSX-SF,2026-06-25,2026,3,-0.1218,-4.394,,,,,0.1697,True,,,,,1.0,True,,,,,3.0,0.1387,0.101,False,-0.1081,16,-0.1081,16,-0.0767,14,-0.0941,15,-0.1081,16,-0.1081,16,-0.1081,16,-0.1081,16,-0.1507,-0.1537,-0.1507,-0.1537,-0.1507,-0.1537,-0.1507,-0.1537,-0.1507,-0.1537,-1.0,False,-0.1272,0.3786,-0.0128,-0.0558,-0.0389,0.0615,0.2576,,,
TSX,AAV,Advantage Oil & Gas Ltd.,Energy,TSX-SF,2011-08-08,2011,3,-0.1921,-6.157,0.0189,-0.0489,-0.2943,-0.3664,-0.1288,True,-0.3175,-0.3515,-0.0036,-0.035,1.0,True,-0.3225,-0.347,-0.0757,-0.0722,2.0,0.2377,0.0943,False,0.0189,63,0.0189,63,-0.0547,24,-0.1038,31,-0.1038,31,-0.1887,32,-0.2547,38,0.0189,63,-0.0757,-0.0722,0.0234,-0.0233,-0.0847,-0.1001,-0.2252,-0.1731,-0.1748,-0.1483,-1.0,False,-0.0366,0.0,-0.0497,-0.0927,-0.1195,-0.0563,-0.0037,-0.6391,0.0,
TSX,AAV,Advantage Oil & Gas Ltd.,Energy,TSX-SF,2011-09-22,2011,3,-0.1535,-3.786,-0.0605,-0.077,-0.1884,-0.2665,-0.3805,True,-0.2577,-0.3547,-0.0991,-0.1352,1.0,True,-0.2845,-0.3532,-0.0991,-0.1179,2.0,0.1814,0.2698,True,0.1814,21,0.107,43,-0.0512,5,-0.0814,6,-0.1093,59,-0.0605,63,-0.0605,63,-0.0605,63,0.0259,0.0374,0.056,0.0265,0.0259,0.0374,0.0259,0.0374,0.0259,0.0374,19.0,False,-0.0366,0.0,-0.0613,-0.1043,-0.1195,-0.0563,-0.0037,-0.6391,0.0,21.0
TSX,AAV,Advantage Oil & Gas Ltd.,Energy,TSX-SF,2012-01-17,2012,5,-0.2009,-2.731,-0.1098,-0.102,-0.0723,-0.0182,-0.4188,True,0.0029,0.0653,-0.1862,-0.1661,3.0,True,0.0029,0.0653,-0.1862,-0.1661,3.0,0.2514,0.1676,False,-0.1098,63,-0.1098,63,-0.0809,55,-0.0809,55,-0.1185,56,-0.1387,57,-0.1098,63,-0.1098,63,-0.1862,-0.1661,0.063,0.0637,0.1576,0.1393,0.0774,0.0671,0.0688,0.0656,-1.0,False,-0.135,0.0,-0.2632,-0.3062,-0.43,-0.0468,-0.0328,,0.0,
