market,ticker,name,sector,exchange,date,year,window_len,raw,z,avg_daily_value,fwd_3m,excess_3m,fwd_6m,excess_6m,momentum_6m,up1_conf,up1_fwd6m,up1_exc6m,up1_fwd3m,up1_exc3m,up1_days,confirmed_conf,confirmed_fwd6m,confirmed_exc6m,confirmed_fwd3m,confirmed_exc3m,confirmed_days,confirmed_fwd15d,confirmed_exc15d,confirmed_fwd21d,confirmed_exc21d,confirmed_fwd30d,confirmed_exc30d,confirmed_fwd42d,confirmed_exc42d,pre_drop_target_ret,mfe,recovered,days_to_recover,r_target,hold_target,r_trail,hold_trail,r_sl5,hold_sl5,r_sl8,hold_sl8,r_sl10,hold_sl10,r_sl12,hold_sl12,r_sl25,hold_sl25,r_sl30,hold_sl30,ce_trail,ce_trail_exc,ce_te15,ce_te15_exc,ce_te21,ce_te21_exc,ce_te30,ce_te30_exc,ce_te42,ce_te42_exc,ce_rec_days,profitable,roe,de,market_cap,earnings_yield,ey_minus_bond,npat_margin,fcf_margin,rev_growth,eps_growth,div_yield,insider_buy_n,insider_sell_n,insider_buy_val,insider_sell_val,insider_net_val,director_buy,director_sell,director_buy_val,insider_signal
US,ACH,Accendra Health Inc,Healthcare,US-SF,2022-10-12,2022,1,-0.3497,-11.856,20697753.0,0.3073,0.1937,-0.0397,-0.1965,-0.4511,True,-0.0423,-0.1735,0.3188,0.2291,1.0,True,-0.0689,-0.2285,0.3424,0.2286,2.0,0.2437,0.1913,0.319,0.2146,0.2456,0.1393,0.3717,0.2566,0.5377,0.4887,False,,0.3073,63.0,0.3073,63.0,0.3073,63.0,0.3073,63.0,0.3073,63.0,0.3073,63.0,0.3073,63.0,0.3073,63.0,0.3424,0.2286,0.2437,0.1913,0.319,0.2146,0.2456,0.1393,0.3717,0.2566,-1.0,True,0.2361,1.0096,1150402080.0,0.1926,0.1536,0.0226,0.0076,0.0013,0.1006,0.0065,2,8,101760.0,6011916.21,-5910156.21,True,True,101760.0,sell
US,ACM,Aecom Technology Corporation,Industrials,US-SF,2020-03-09,2020,3,-0.2291,-7.461,68901697.0,0.1718,-0.0051,-0.0042,-0.2519,0.4313,True,-0.0548,-0.2108,0.1187,0.0059,1.0,False,,,,,,,,,,,,,,0.2972,0.1793,False,,0.1718,63.0,0.1718,63.0,-0.0553,2.0,-0.1993,3.0,-0.1993,3.0,-0.1993,3.0,-0.2795,5.0,-0.3818,7.0,,,,,,,,,,,,False,-0.0707,0.9221,4723821368.0,-0.0553,-0.0983,-0.0191,0.0496,0.103,-0.1476,0.0,1,2,8512000.0,2523046.4,5988953.6,True,True,8512000.0,buy
US,AFL,Aflac Incorporated,Financial Services,US-SF,2020-03-17,2020,5,-0.2313,-5.537,145474418.0,0.2489,0.0134,0.236,-0.1087,-0.2242,True,0.4205,0.0272,0.3908,0.0978,2.0,True,-0.015,-0.3225,-0.0347,-0.2669,6.0,-0.046,-0.1769,-0.012,-0.1579,-0.0234,-0.1873,-0.0056,-0.2141,0.3008,0.4077,True,55.0,0.3008,55.0,0.1924,60.0,-0.1619,1.0,-0.1619,1.0,-0.1619,1.0,-0.1619,1.0,0.2489,63.0,0.2489,63.0,-0.0212,-0.2339,-0.046,-0.1769,-0.012,-0.1579,-0.0234,-0.1873,-0.0056,-0.2141,49.0,True,0.1141,0.2213,13223427806.0,0.2499,0.2069,0.1481,0.2445,-0.0037,0.064,0.042,1,8,54080.0,3897804.91,-3843724.91,True,True,54080.0,sell
US,AGCO,AGCO Corporation,Industrials,US-SF,2011-08-08,2011,5,-0.246,-4.936,62774845.0,0.2916,0.1721,0.4648,0.2615,-0.0635,True,0.3495,0.1982,0.176,0.1005,1.0,False,,,,,,,,,,,,,,0.3263,0.5008,False,,0.2916,63.0,0.2916,63.0,-0.0953,39.0,-0.0953,39.0,0.2916,63.0,0.2916,63.0,0.2916,63.0,0.2916,63.0,,,,,,,,,,,,True,0.0829,0.1666,2019053849.0,0.1092,0.0662,0.032,0.0394,0.0482,0.4513,0.0,1,12,75049.35,4178209.8,-4103160.45,True,True,75049.35,sell
US,ALLY,Ally Financial Inc,Financial Services,US-SF,2020-03-19,2020,4,-0.3738,-6.492,101687530.0,0.5631,0.2701,1.0657,0.6724,-0.4064,True,1.0639,0.5975,0.6164,0.2229,2.0,True,0.7287,0.3739,0.374,0.0945,3.0,-0.0077,-0.145,0.0021,-0.1411,0.0036,-0.1603,0.1254,-0.0822,0.597,1.0657,True,53.0,0.597,53.0,0.6298,57.0,-0.0916,1.0,-0.0916,1.0,0.5631,63.0,0.5631,63.0,0.5631,63.0,0.5631,63.0,0.471,0.1675,-0.0077,-0.145,0.0021,-0.1411,0.0036,-0.1603,0.1254,-0.0822,50.0,True,0.119,2.744,3210675032.0,0.5342,0.4912,0.1484,0.0023,0.0325,0.1361,0.0664,2,3,452609.6,213378.66,239230.94,True,True,452609.6,buy
US,ASB,Associated Banc-Corp,Financial Services,US-SF,2020-03-09,2020,3,-0.2468,-9.57,17884936.0,0.3263,0.1494,0.103,-0.1447,-0.0646,True,-0.0243,-0.1803,0.2012,0.0884,1.0,True,-0.0225,-0.2548,0.0651,-0.0567,4.0,-0.1705,-0.0885,-0.0672,-0.117,-0.0462,-0.108,-0.1503,-0.1905,0.3277,0.3263,False,,0.3263,63.0,0.3263,63.0,-0.1085,7.0,-0.1085,7.0,-0.1085,7.0,-0.1654,10.0,0.3263,63.0,0.3263,63.0,0.0651,-0.0567,-0.1705,-0.0885,-0.0672,-0.117,-0.0462,-0.108,-0.1503,-0.1905,-1.0,True,0.0833,0.2808,1912539144.0,0.1709,0.1279,0.2116,0.3281,0.0849,0.1063,0.0691,7,18,530300.0,1401824.73,-871524.73,True,True,530300.0,sell
US,AVTR,Avantor Inc,Healthcare,US-SF,2025-10-29,2025,1,-0.2321,-7.275,159204380.0,-0.057,-0.064,-0.3126,-0.3619,0.1883,True,-0.319,-0.3802,-0.0821,-0.0934,2.0,True,-0.319,-0.3802,-0.0821,-0.0934,2.0,-0.0254,0.0093,-0.0152,-0.0136,-0.0457,-0.0422,-0.0305,-0.0331,0.3022,0.0881,False,,-0.057,63.0,-0.057,63.0,-0.0604,13.0,-0.082,28.0,-0.057,63.0,-0.057,63.0,-0.057,63.0,-0.057,63.0,-0.0821,-0.0934,-0.0254,0.0093,-0.0152,-0.0136,-0.0457,-0.0422,-0.0305,-0.0331,-1.0,True,0.1194,0.6809,7906307555.0,0.09,0.0494,0.1049,0.102,0.0235,0.7422,,4,1,2184000.0,39591.64,2144408.36,True,True,2184000.0,buy
US,AXP,American Express Company,Financial Services,US-SF,2020-03-18,2020,3,-0.2595,-4.523,457239451.0,0.4175,0.1191,0.4516,0.0398,-0.1571,True,0.3717,-0.0216,0.3329,0.0399,1.0,True,0.1835,-0.1712,0.1894,-0.09,4.0,0.0024,-0.1349,-0.0135,-0.1567,0.005,-0.1589,0.0687,-0.1389,0.3505,0.5499,True,48.0,0.3505,48.0,0.3444,59.0,-0.0649,3.0,0.4175,63.0,0.4175,63.0,0.4175,63.0,0.4175,63.0,0.4175,63.0,0.1796,-0.0471,0.0024,-0.1349,-0.0135,-0.1567,0.005,-0.1589,0.0687,-0.1389,44.0,True,0.293,2.7861,46261664603.0,0.1461,0.1031,0.1435,0.2545,0.0603,0.0777,0.0242,1,17,132870.0,13914188.52,-13781318.52,True,True,132870.0,sell
US,AZO,AutoZone Inc,Consumer Cyclical,US-SF,2020-03-16,2020,5,-0.2356,-7.061,294746807.0,0.314,0.0288,0.4585,0.0405,-0.0259,True,0.36,0.0152,0.247,0.0116,1.0,True,0.3464,0.0668,0.2897,0.1088,15.0,0.2061,0.1311,0.1797,0.1104,0.262,0.1647,0.3186,0.1196,0.3082,0.4687,True,48.0,0.3082,48.0,0.4585,126.0,-0.0503,2.0,-0.1447,4.0,-0.1447,4.0,-0.1447,4.0,0.314,63.0,0.314,63.0,0.2901,0.0749,0.2061,0.1311,0.1797,0.1104,0.262,0.1647,0.2901,0.0749,33.0,True,-0.9436,-3.0378,13898264472.0,0.1164,0.0734,0.1363,0.1376,0.046,0.1512,,4,54,1772000.0,66894438.32,-65122438.32,True,True,1772000.0,sell
US,BAC,Bank of America Corp,Financial Services,US-SF,2011-08-08,2011,3,-0.3176,-11.634,1321571650.0,-0.0018,-0.1213,0.2097,0.0064,-0.329,True,0.0732,-0.0782,-0.1503,-0.2258,1.0,True,0.131,-0.0288,-0.2308,-0.2397,12.0,0.0499,0.0232,-0.0962,-0.0612,-0.1005,-0.0897,-0.0374,-0.1025,0.4654,0.2888,False,,-0.0018,63.0,-0.0018,63.0,-0.068,32.0,-0.1495,39.0,-0.1495,39.0,-0.1495,39.0,-0.0018,63.0,-0.0018,63.0,-0.2308,-0.2397,0.0499,0.0232,-0.0962,-0.0612,-0.1005,-0.0897,-0.0374,-0.1025,-1.0,False,-0.0098,2.525,35207739153.0,-0.0636,-0.1066,-0.0213,0.7775,0.1292,-0.2458,0.008,2,0,231100.0,0.0,231100.0,True,False,231100.0,buy
