market,ticker,name,sector,exchange,date,year,window_len,raw,z,avg_daily_value,fwd_3m,excess_3m,fwd_6m,excess_6m,momentum_6m,up1_conf,up1_fwd6m,up1_exc6m,up1_fwd3m,up1_exc3m,up1_days,confirmed_conf,confirmed_fwd6m,confirmed_exc6m,confirmed_fwd3m,confirmed_exc3m,confirmed_days,confirmed_fwd15d,confirmed_exc15d,confirmed_fwd21d,confirmed_exc21d,confirmed_fwd30d,confirmed_exc30d,confirmed_fwd42d,confirmed_exc42d,pre_drop_target_ret,mfe,recovered,days_to_recover,r_target,hold_target,r_trail,hold_trail,r_sl5,hold_sl5,r_sl8,hold_sl8,r_sl10,hold_sl10,r_sl12,hold_sl12,r_sl25,hold_sl25,r_sl30,hold_sl30,ce_trail,ce_trail_exc,ce_te15,ce_te15_exc,ce_te21,ce_te21_exc,ce_te30,ce_te30_exc,ce_te42,ce_te42_exc,ce_rec_days,profitable,roe,de,market_cap,earnings_yield,ey_minus_bond,npat_margin,fcf_margin,rev_growth,eps_growth,div_yield,insider_buy_n,insider_sell_n,insider_buy_val,insider_sell_val,insider_net_val,director_buy,director_sell,director_buy_val,insider_signal
US,AAP,Advance Auto Parts Inc,Consumer Cyclical,US-SF,2023-05-31,2023,1,-0.3504,-19.264,171468608.0,-0.0624,-0.1426,-0.2864,-0.3751,-0.2346,True,-0.1886,-0.2547,0.0177,-0.0247,4.0,True,-0.1394,-0.2048,-0.1379,-0.1663,8.0,0.0638,0.039,0.0601,0.0207,0.0966,0.0441,0.0844,0.0556,0.5393,0.0242,False,,-0.0624,63.0,-0.0624,63.0,-0.0667,1.0,-0.1002,3.0,-0.1002,3.0,-0.1277,7.0,-0.0624,63.0,-0.0624,63.0,-0.1379,-0.1663,0.0638,0.039,0.0601,0.0207,0.0966,0.0441,0.0844,0.0556,-1.0,True,0.1787,0.5283,4125480165.0,0.1126,0.0762,0.0508,0.0324,-0.0048,0.0397,0.0877,0,0,0.0,0.0,0.0,False,False,0.0,none
US,ABG,Asbury Automotive Group Inc,Consumer Cyclical,US-SF,2020-03-11,2020,5,-0.2308,-5.095,20851944.0,0.0787,-0.085,0.5305,0.2906,0.0159,True,1.218,0.8733,0.6575,0.422,4.0,True,1.0639,0.6706,0.5931,0.3001,6.0,0.2338,0.0759,0.1192,-0.0525,0.342,0.1671,0.4047,0.1915,0.3001,0.5305,False,,0.0787,63.0,0.0787,63.0,-0.1893,1.0,-0.1893,1.0,-0.1893,1.0,-0.1893,1.0,-0.3593,3.0,-0.3593,3.0,0.5931,0.3001,0.2338,0.0759,0.1192,-0.0525,0.342,0.1671,0.4047,0.1915,-1.0,True,0.2853,2.4711,1348187308.0,0.1368,0.0938,0.0256,0.0392,0.0421,0.2019,0.0,0,0,0.0,0.0,0.0,False,False,0.0,none
US,ABM,ABM Industries Incorporated,Industrials,US-SF,2020-03-12,2020,2,-0.2428,-9.286,10730188.0,0.3116,0.1014,0.5831,0.237,-0.0774,True,0.3418,0.1094,0.168,0.0461,1.0,True,0.3301,-0.0147,0.2183,-0.0171,3.0,-0.0602,-0.1117,0.1262,0.0193,0.2837,0.1214,0.1273,-0.005,0.3206,0.6447,True,25.0,0.3206,25.0,0.2561,27.0,-0.1291,6.0,-0.1291,6.0,-0.1291,6.0,-0.1291,6.0,0.3116,63.0,0.3116,63.0,0.0759,-0.0061,-0.0602,-0.1117,0.1262,0.0193,0.0759,-0.0061,0.0759,-0.0061,22.0,True,0.0826,0.5197,1236983054.0,0.103,0.06,0.0196,0.0313,0.0525,0.0748,0.0343,0,7,0.0,649433.12,-649433.12,False,True,0.0,sell
US,ACH,Accendra Health Inc,Healthcare,US-SF,2022-10-12,2022,1,-0.3497,-11.856,20697753.0,0.3073,0.1937,-0.0397,-0.1965,-0.4511,True,-0.0423,-0.1735,0.3188,0.2291,1.0,True,-0.0689,-0.2285,0.3424,0.2286,2.0,0.2437,0.1913,0.319,0.2146,0.2456,0.1393,0.3717,0.2566,0.5377,0.4887,False,,0.3073,63.0,0.3073,63.0,0.3073,63.0,0.3073,63.0,0.3073,63.0,0.3073,63.0,0.3073,63.0,0.3073,63.0,0.3424,0.2286,0.2437,0.1913,0.319,0.2146,0.2456,0.1393,0.3717,0.2566,-1.0,True,0.2361,1.0096,1150402080.0,0.1926,0.1536,0.0226,0.0076,0.0013,0.1006,0.0065,2,8,101760.0,6011916.21,-5910156.21,True,True,101760.0,sell
US,ACH,Accendra Health Inc,Healthcare,US-SF,2024-05-03,2024,1,-0.257,-10.937,14987941.0,-0.1834,-0.1948,-0.2663,-0.3835,0.7104,True,-0.3757,-0.4783,-0.1988,-0.2102,1.0,True,-0.3076,-0.4555,-0.1927,-0.216,5.0,-0.0596,-0.0712,-0.0945,-0.1237,-0.1728,-0.2201,-0.2625,-0.3377,0.346,0.1098,False,,-0.1834,63.0,-0.1834,63.0,-0.0511,14.0,-0.0829,28.0,-0.112,34.0,-0.1538,35.0,-0.2586,38.0,-0.3086,42.0,-0.1927,-0.216,-0.0596,-0.0712,-0.0945,-0.1237,-0.1728,-0.2201,-0.2625,-0.3377,-1.0,False,-0.0447,2.2696,1394589213.0,-0.0296,-0.0746,-0.004,0.0516,0.0187,-0.1629,0.0055,0,12,0.0,2088428.31,-2088428.31,False,True,0.0,sell
US,ACM,Aecom Technology Corporation,Industrials,US-SF,2020-03-09,2020,3,-0.2291,-7.461,68901697.0,0.1718,-0.0051,-0.0042,-0.2519,0.4313,True,-0.0548,-0.2108,0.1187,0.0059,1.0,False,,,,,,,,,,,,,,0.2972,0.1793,False,,0.1718,63.0,0.1718,63.0,-0.0553,2.0,-0.1993,3.0,-0.1993,3.0,-0.1993,3.0,-0.2795,5.0,-0.3818,7.0,,,,,,,,,,,,False,-0.0707,0.9221,4723821368.0,-0.0553,-0.0983,-0.0191,0.0496,0.103,-0.1476,0.0,1,2,8512000.0,2523046.4,5988953.6,True,True,8512000.0,buy
US,ADM,Archer-Daniels-Midland Company,Consumer Defensive,US-SF,2024-01-22,2024,1,-0.242,-18.686,231307104.0,0.2206,0.1875,0.225,0.0796,-0.1652,True,0.2189,0.1032,0.1924,0.1501,1.0,True,0.2244,0.1154,0.1807,0.139,2.0,0.0217,-0.0054,0.0252,-0.0201,0.0405,-0.0188,0.199,0.1271,0.3192,0.2939,False,,0.2206,63.0,0.2206,63.0,0.2206,63.0,0.2206,63.0,0.2206,63.0,0.2206,63.0,0.2206,63.0,0.2206,63.0,0.1807,0.139,0.0217,-0.0054,0.0252,-0.0201,0.0405,-0.0188,0.199,0.1271,-1.0,True,0.1763,0.3729,22818135380.0,0.1902,0.1493,0.0427,0.0213,0.108,0.2265,0.038,0,1,0.0,126294.0,-126294.0,False,True,0.0,sell
US,AEG,Aegon NV ADR,Financial Services,US-SF,2020-03-09,2020,3,-0.2383,-8.317,4918096.0,0.4121,0.2352,0.1682,-0.0795,-0.0678,True,0.0765,-0.0795,0.3167,0.204,1.0,True,0.1746,-0.2655,0.2699,-0.0741,9.0,0.1261,-0.0721,-0.0126,-0.1998,0.0294,-0.2039,0.1343,-0.1549,0.3129,0.4244,True,60.0,0.3129,60.0,0.2931,65.0,-0.1985,3.0,-0.1985,3.0,-0.1985,3.0,-0.1985,3.0,-0.2824,5.0,0.4121,63.0,0.4235,0.0395,0.1261,-0.0721,-0.0126,-0.1998,0.0294,-0.2039,0.1343,-0.1549,51.0,True,0.0507,0.1698,2628079468.0,0.4714,0.4284,0.0203,0.117,0.0683,0.0628,0.1863,0,0,0.0,0.0,0.0,False,False,0.0,none
US,AES,The AES Corporation,Utilities,US-SF,2020-03-12,2020,4,-0.2759,-7.092,76847461.0,0.0117,-0.1985,0.4531,0.107,0.1059,True,0.396,0.1636,-0.0155,-0.1374,1.0,True,0.6139,0.1737,0.1352,-0.2088,6.0,0.1955,-0.0027,0.0497,-0.1376,0.0901,-0.1433,0.1037,-0.1856,0.381,0.5218,False,,0.0117,63.0,0.0117,63.0,-0.0977,2.0,-0.0977,2.0,-0.2151,4.0,-0.2151,4.0,0.0117,63.0,0.0117,63.0,0.1352,-0.2088,0.1955,-0.0027,0.0497,-0.1376,0.0901,-0.1433,0.1037,-0.1856,-1.0,True,0.1008,6.7333,6867708776.0,0.044,0.001,0.0296,0.006,-0.0985,-0.171,0.0575,0,0,0.0,0.0,0.0,False,False,0.0,none
US,AFG,"American Financial Group, Inc.",Financial Services,US-SF,2020-03-16,2020,1,-0.2629,-10.84,23406507.0,0.1504,-0.1347,0.2372,-0.1808,-0.2647,True,0.1131,-0.2317,0.0839,-0.1515,1.0,True,0.1274,-0.2274,0.0773,-0.2022,6.0,0.1943,0.057,0.0371,-0.1061,-0.0049,-0.1688,0.0174,-0.1902,0.3566,0.4322,True,17.0,0.3566,17.0,0.2566,21.0,-0.1641,2.0,-0.1641,2.0,-0.1641,2.0,-0.1641,2.0,0.1504,63.0,0.1504,63.0,0.1943,0.057,0.1943,0.057,0.1943,0.057,0.1943,0.057,0.1943,0.057,11.0,True,0.1431,0.2844,2608188466.0,0.3439,0.3009,0.1467,0.4016,0.013,0.1431,0.1593,0,10,0.0,33193445.36,-33193445.36,False,True,0.0,sell
US,AFL,Aflac Incorporated,Financial Services,US-SF,2020-03-17,2020,5,-0.2313,-5.537,145474418.0,0.2489,0.0134,0.236,-0.1087,-0.2242,True,0.4205,0.0272,0.3908,0.0978,2.0,True,-0.015,-0.3225,-0.0347,-0.2669,6.0,-0.046,-0.1769,-0.012,-0.1579,-0.0234,-0.1873,-0.0056,-0.2141,0.3008,0.4077,True,55.0,0.3008,55.0,0.1924,60.0,-0.1619,1.0,-0.1619,1.0,-0.1619,1.0,-0.1619,1.0,0.2489,63.0,0.2489,63.0,-0.0212,-0.2339,-0.046,-0.1769,-0.012,-0.1579,-0.0234,-0.1873,-0.0056,-0.2141,49.0,True,0.1141,0.2213,13223427806.0,0.2499,0.2069,0.1481,0.2445,-0.0037,0.064,0.042,1,8,54080.0,3897804.91,-3843724.91,True,True,54080.0,sell
